census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,GEOID,intersectional_group,method_version,validated_against_paper_map,validation_date,source_pdf
24510110100,Census Tract 1101; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,274170,535706,274170,535706,NA,NA,24510110100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510110200,Census Tract 1102; Baltimore city; Maryland,"Baltimore city, Maryland",14,6,2684060,1203232,2684060,1203232,NA,NA,24510110200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120100,Census Tract 1201; Baltimore city; Maryland,"Baltimore city, Maryland",9,13,3646609,4800160,3646609,4800160,NA,NA,24510120100,Sustained advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120200,"Census Tract 1202, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510120200,NA,NA,NA,NA,NA
24510120201,Census Tract 1202.01; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,447084,682874,447084,682874,NA,NA,24510120201,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120202,Census Tract 1202.02; Baltimore city; Maryland,"Baltimore city, Maryland",1,4,241736,928841,241736,928841,NA,NA,24510120202,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120300,Census Tract 1203; Baltimore city; Maryland,"Baltimore city, Maryland",8,4,1499390,-1487087,1499390,276163,NA,-1763250,24510120300,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120400,Census Tract 1204; Baltimore city; Maryland,"Baltimore city, Maryland",3,0,-22223,NA,4703,NA,-26926,NA,24510120400,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120500,Census Tract 1205; Baltimore city; Maryland,"Baltimore city, Maryland",3,4,495751,806555,495751,806555,NA,NA,24510120500,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120600,Census Tract 1206; Baltimore city; Maryland,"Baltimore city, Maryland",1,1,207431,293398,207431,293398,NA,NA,24510120600,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510120700,Census Tract 1207; Baltimore city; Maryland,"Baltimore city, Maryland",4,8,560786,1273207,560786,1370429,NA,-97222,24510120700,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130100,Census Tract 1301; Baltimore city; Maryland,"Baltimore city, Maryland",2,3,360217,124414,360217,124414,NA,NA,24510130100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130200,Census Tract 1302; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,739811,103093,739811,103093,NA,NA,24510130200,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130300,Census Tract 1303; Baltimore city; Maryland,"Baltimore city, Maryland",13,2,1814084,189405,1814084,189405,NA,NA,24510130300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130400,Census Tract 1304; Baltimore city; Maryland,"Baltimore city, Maryland",14,2,1508157,151850,1508157,151850,NA,NA,24510130400,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130600,Census Tract 1306; Baltimore city; Maryland,"Baltimore city, Maryland",9,8,1796416,1633004,1796416,1633004,NA,NA,24510130600,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130700,Census Tract 1307; Baltimore city; Maryland,"Baltimore city, Maryland",7,6,1598080,903428,1598080,903428,NA,NA,24510130700,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130803,Census Tract 1308.03; Baltimore city; Maryland,"Baltimore city, Maryland",10,10,1850715,1564965,1850715,1564965,NA,NA,24510130803,Sustained advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130804,Census Tract 1308.04; Baltimore city; Maryland,"Baltimore city, Maryland",6,3,1030249,170452,1030249,170452,NA,NA,24510130804,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130805,Census Tract 1308.05; Baltimore city; Maryland,"Baltimore city, Maryland",0,1,NA,152704,NA,152704,NA,NA,24510130805,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510130806,Census Tract 1308.06; Baltimore city; Maryland,"Baltimore city, Maryland",2,1,382563,51091,382563,51091,NA,NA,24510130806,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510140100,Census Tract 1401; Baltimore city; Maryland,"Baltimore city, Maryland",4,7,1241968,2066923,1241968,2163683,NA,-96760,24510140100,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510140200,Census Tract 1402; Baltimore city; Maryland,"Baltimore city, Maryland",8,0,827295,NA,827835,NA,-540,NA,24510140200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510140300,Census Tract 1403; Baltimore city; Maryland,"Baltimore city, Maryland",15,1,1780161,74829,1780161,74829,NA,NA,24510140300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150100,Census Tract 1501; Baltimore city; Maryland,"Baltimore city, Maryland",13,3,1122742,174659,1138677,174659,-15935,NA,24510150100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150200,Census Tract 1502; Baltimore city; Maryland,"Baltimore city, Maryland",48,4,3607554,299738,3607554,337858,NA,-38120,24510150200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150300,Census Tract 1503; Baltimore city; Maryland,"Baltimore city, Maryland",29,4,2437624,192944,2455689,197844,-18065,-4900,24510150300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150400,Census Tract 1504; Baltimore city; Maryland,"Baltimore city, Maryland",25,4,2152333,379014,2152535,379014,-202,NA,24510150400,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150500,Census Tract 1505; Baltimore city; Maryland,"Baltimore city, Maryland",10,1,1878858,172276,1878858,172276,NA,NA,24510150500,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150600,Census Tract 1506; Baltimore city; Maryland,"Baltimore city, Maryland",26,8,3401148,925831,3401148,925831,NA,NA,24510150600,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150701,Census Tract 1507.01; Baltimore city; Maryland,"Baltimore city, Maryland",12,5,1622691,552461,1622691,552461,NA,NA,24510150701,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150702,Census Tract 1507.02; Baltimore city; Maryland,"Baltimore city, Maryland",16,5,2890207,743301,2892334,743301,-2127,NA,24510150702,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150800,Census Tract 1508; Baltimore city; Maryland,"Baltimore city, Maryland",18,5,4288312,930265,4288312,930265,NA,NA,24510150800,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510150900,Census Tract 1509; Baltimore city; Maryland,"Baltimore city, Maryland",26,7,3887587,1074861,3887587,1074861,NA,NA,24510150900,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510151000,Census Tract 1510; Baltimore city; Maryland,"Baltimore city, Maryland",21,8,3521720,1583874,3521720,1583874,NA,NA,24510151000,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510151100,Census Tract 1511; Baltimore city; Maryland,"Baltimore city, Maryland",37,11,6278892,2030091,6330995,2089092,-52103,-59001,24510151100,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510151200,Census Tract 1512; Baltimore city; Maryland,"Baltimore city, Maryland",24,4,3165837,341701,3165837,341701,NA,NA,24510151200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510151300,Census Tract 1513; Baltimore city; Maryland,"Baltimore city, Maryland",23,5,2900085,390130,2900085,436911,NA,-46781,24510151300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
