GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510271200,2143,1308,29,34,6282,0.5968268782081194,0.20280165552371857,acs5_2019_tract,NA,7.669108143041792,76.09964093357272,8.962113976440625,165443
24510280404,1097,4,405,598,2631,-0.365542388331814,-0.22576966932725198,acs5_2019_tract,NA,12.659235668789808,15.921483097055615,89.54770049410871,39233
24510090100,1537,46,435,726,3758,-0.2530904359141184,-0.1809473124002129,acs5_2019_tract,NA,21.50153217568948,17.275027105168054,82.99627461415646,44759
24510200300,479,14,157,404,1356,-0.2985386221294363,-0.28761061946902655,acs5_2019_tract,NA,50.15608740894901,4.365904365904366,61.13569321533923,20820
24510271501,1765,733,8,88,4161,0.41076487252124644,0.15501081470800288,acs5_2019_tract,NA,7.202944269190326,78.65390960079182,16.58255227108868,104375
24510250203,718,23,201,357,1940,-0.2479108635097493,-0.17216494845360825,acs5_2019_tract,NA,15.826494724501758,18.82640586797066,83.81443298969072,34873
24510110200,3963,733,624,360,5968,0.027504415846580872,0.0625,acs5_2019_tract,NA,10.420433996383364,64.64208242950109,25.28485254691689,49970
24510020300,2152,805,0,0,3761,0.37407063197026025,0.2140388194629088,acs5_2019_tract,NA,14.873417721518987,79.70970668279408,3.669236905078437,108026
24510150400,1199,0,481,527,3824,-0.4011676396997498,-0.13781380753138076,acs5_2019_tract,NA,33.388888888888886,14.17624521072797,93.59309623430963,31440
24510010200,1411,656,10,0,2858,0.4578313253012048,0.22953114065780267,acs5_2019_tract,NA,6.4943671305500335,74.75971583786043,4.478656403079076,106250
24510060400,797,77,199,110,1561,-0.15307402760351319,-0.02114029468289558,acs5_2019_tract,NA,12.991266375545852,56.802721088435376,52.59449071108264,51089
24510200600,847,26,129,250,2311,-0.12160566706021252,-0.09692773691042839,acs5_2019_tract,NA,28.402366863905325,8.208020050125313,71.39766334919948,39159
24510200701,1798,0,555,1014,4797,-0.3086763070077864,-0.21138211382113822,acs5_2019_tract,NA,14.867424242424242,9.088145896656535,97.49843652282676,39208
24510270803,2938,25,414,155,6367,-0.13240299523485363,-0.020417779173865242,acs5_2019_tract,NA,7.054729515975957,28.233856182521897,89.13145908591173,50686
24510270901,1712,21,332,241,4525,-0.1816588785046729,-0.04861878453038674,acs5_2019_tract,NA,4.994450610432852,12.013910844135314,91.86740331491713,53120
24510271400,1440,778,14,48,4015,0.5305555555555556,0.18181818181818182,acs5_2019_tract,NA,6.188925081433225,80.15625,6.475716064757161,133333
24510271600,1437,0,505,1038,4066,-0.35142658315935976,-0.25528775209050664,acs5_2019_tract,NA,23.072805139186297,13.452027695351138,93.16281357599607,31361
24510280302,1022,20,300,480,2538,-0.273972602739726,-0.18124507486209615,acs5_2019_tract,NA,10.507880910683012,21.170084439083233,86.72182821118992,44423
